term,definition,category,categories,related_terms,example,video_url,featured_image,article_link,key_concepts
Structured Data,"Standardized code added to HTML to help search engines understand page content contextually, enabling the display of rich snippets in SERPs.",seo,"Technical SEO, Onpage Optimization","Rich Snippets, Featured Snippets","A popular Malaysian cinema chain implements schema markup, a form of structured data, directly into their website's HTML. They tag specific information on their movie pages, such as the film's title, genre, user ratings, and most importantly, the local showtimes. This standardized code helps search engines understand the context of the content perfectly. Consequently, when a user searches for ""movies showing in Kuala Lumpur,"" Google can extract this structured data and display the exact showtimes and ticket links directly in a rich snippet on the search results page, driving immediate ticket sales.",https://www.youtube.com/watch?v=jqb29bZIxp0,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/structured-data.webp,https://wordsthatsells.website/en/resources/glossary/rich-snippets-with-structured-data-2026.html,Schema Markup; Rich Snippets; Semantic SEO
Topical Relevance,"The depth and comprehensiveness of content covering a specific subject, signaling to search engines that a website is an authority on that particular topic.",content,"Content Strategy, Onpage Optimization","Content Relevance, Topic Explorer","A Singaporean blog dedicated entirely to sustainable urban farming has established immense topical relevance in the eyes of search engines. Instead of covering broad lifestyle topics, they publish hundreds of deeply researched articles specifically about hydroponics, balcony gardening, and composting in tropical climates. Because their content comprehensively covers this specific subject area, Google's semantic algorithms recognize the domain as a highly authoritative source. This strong topical relevance allows them to easily outrank larger, generic news sites when users search for niche queries like ""best indoor grow lights for Singapore apartments.""",https://www.youtube.com/watch?v=H9NvvSiz0EU,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/topical-relevance.webp,https://wordsthatsells.website/en/resources/glossary/topical-relevance-and-authority-2026.html,Authority; Content Clusters; Semantic SEO
Topic Explorer,"An SEO tool or feature used to discover related subtopics, questions, and keywords around a main subject to build comprehensive, topically relevant content clusters.",content,"Content Strategy, Strategy","Content Gap Analysis, Topical Relevance","An SEO strategist at a Vietnamese export company uses a Topic Explorer tool to build out a comprehensive content cluster. Starting with the broad seed term ""coffee export,"" the tool analyzes search data to reveal related subtopics and questions users are asking, such as ""Robusta vs Arabica,"" ""export tariffs to the EU,"" and ""sustainable farming certifications."" By using these insights to create a hub-and-spoke content model—one main pillar page linking to detailed sub-articles—the company builds immense topical authority, ensuring they rank for a wide array of industry-specific search queries.",https://www.youtube.com/watch?v=byEFujJZVCk,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/topic-explorer.webp,https://wordsthatsells.website/en/resources/glossary/topic-explorer-tools-for-seo-2026.html,Content Clusters; Keyword Research; Subtopics
Universal Search,"The integration of diverse media types—such as images, videos, news, and maps—into standard organic search results to provide a richer user experience.",seo,"SERP Features, General","Google Knowledge Graph, Google News","When a user in Jakarta searches for ""Bali vacation,"" Google employs Universal Search to deliver a blended, highly visual results page. Instead of just a list of ten blue links, the SERP integrates diverse media types. The user sees a map highlighting popular resorts, an image carousel of famous beaches, a ""Top Stories"" box with recent travel news, and video results from YouTube vloggers. For Indonesian travel brands, this means SEO isn't just about optimizing text; they must optimize their images, videos, and local listings to capture visibility across all these blended search features.",https://www.youtube.com/watch?v=pwh_rQsvtgQ,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/universal-search.webp,https://wordsthatsells.website/en/resources/glossary/universal-search-optimization-2026.html,Blended Results; Rich Media; SERP Features
URL,"The Uniform Resource Locator, the specific web address of a page, which should be clean, descriptive, and keyword-optimized for better search engine crawling.",seo,"Technical SEO, Onpage Optimization","Website Structure, Web Pages","A newly launched e-commerce site in Singapore ensures every product page has a clean, descriptive URL to improve crawlability and user experience. Instead of using confusing, dynamically generated web addresses like ""www.example.com.sg/item?id=84759,"" they structure their URLs logically: ""www.example.com.sg/electronics/laptops/asus-zenbook."" This keyword-optimized Uniform Resource Locator provides immediate context to both human users and search engine crawlers about the page's exact content. This clear site structure helps search engines categorize the pages accurately, contributing to better overall rankings in the competitive regional tech market.",https://www.youtube.com/watch?v=cvtgL63woXg,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/url.webp,https://wordsthatsells.website/en/resources/glossary/url-structure-for-seo-2026.html,Site Structure; Crawlability; Optimization
User Experience,"The overall experience a user has while interacting with a website, including site speed, navigation, and mobile-friendliness, increasingly important for SEO rankings.",seo,"Technical SEO, Strategy","User Signals, Page Content","A major Thai online fashion retailer recently overhauled its website, placing User Experience (UX) at the forefront of its SEO strategy. They recognized that Google heavily weighs Core Web Vitals and usability metrics. They redesigned the site to ensure lightning-fast mobile load times, intuitive navigation menus, and a seamless, secure checkout process. By keeping shoppers engaged and frustrated-free, they drastically reduced bounce rates and increased session durations. Search engines interpreted these positive behavioral signals as proof of a high-quality site, rewarding the retailer with higher rankings across their product categories.",https://www.youtube.com/watch?v=iXqYxSgESzo,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/user-experience.webp,https://wordsthatsells.website/en/resources/glossary/user-experience-ux-in-seo-2026.html,Core Web Vitals; Usability; Ranking Factor
User/Search Intent,"The underlying goal or purpose behind a user's search query—whether informational, navigational, or transactional—crucial for aligning content with what users actually want.",content,"Content Strategy, SEO Strategy","Search Term, Content Relevance","A savvy content marketer in Manila strictly aligns their SEO strategy with User/Search Intent. They understand that if someone searches ""buy durian online,"" the intent is purely transactional; the user wants a product page with an ""Add to Cart"" button. Conversely, if the query is ""how to open a durian,"" the intent is informational. The marketer ensures they don't try to rank a sales page for an informational query, as users would immediately bounce. By perfectly matching the webpage content to the underlying goal of the searcher, they maximize engagement and conversion rates.",https://www.youtube.com/watch?v=6qjBTOSgbDI,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/user-search-intent.webp,https://wordsthatsells.website/en/resources/glossary/search-intent-optimization-2026.html,Query Purpose; Content Relevance; Targeting
User Signals,"Behavioral metrics like click-through rate, bounce rate, and dwell time that indicate to search engines how users interact with and value a webpage.",seo,"Technical SEO, Strategy","User Experience, Conversion","Google closely monitors User Signals to evaluate the quality of a Laotian cultural festival guide ranking on the first page. When users search for ""Pha That Luang Festival dates,"" they click on the guide (high Click-Through Rate), spend several minutes reading the history and schedule (high Dwell Time), and rarely hit the back button immediately (low Bounce Rate). These strong behavioral metrics indicate to the search engine algorithm that the webpage is highly valuable and satisfying to users, reinforcing its position at the top of the search results and preventing competitors from outranking it.",https://www.youtube.com/watch?v=FA_B-xC0C_U,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/user-signals.webp,https://wordsthatsells.website/en/resources/glossary/user-signals-in-ranking-2026.html,CTR; Bounce Rate; Dwell Time
Web Catalogues,"Curated online directories listing websites by category, once popular for link building but now generally less effective for SEO unless highly niche-specific.",seo,"Offpage Optimization, Local SEO","Web Directory, Business Directory","In the past, a Vientiane-based business might have relied heavily on submitting their site to broad Web Catalogues to build links. However, modern SEOs in Southeast Asia recognize that generic, uncurated directories offer little to no SEO value and can even look spammy. Instead, they focus on highly niche-specific or authoritative local catalogues. For example, a specialized directory listing only verified ""Sustainable Eco-Lodges in Southeast Asia"" still provides a valuable, contextually relevant citation and backlink that search engines respect, unlike the massive, disorganized link farms of the early internet.",https://www.youtube.com/watch?v=wlUT_yRz6y8,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/web-catalogues.webp,https://wordsthatsells.website/en/resources/glossary/web-catalogues-and-directories-2026.html,Directories; Link Building; Citations
Web Directory,"An online list or catalog of websites categorized by topic or industry, occasionally useful for local SEO citations if the directory maintains high editorial standards.",seo,"Offpage Optimization, Local SEO","Web Catalogues, Business Directory","A local restaurant in Chiang Mai utilizes high-quality Web Directories to boost its local SEO presence. They ensure their business is listed accurately on platforms like TripAdvisor, Yelp, and localized Thai dining directories like Wongnai. These directories maintain high editorial standards and are frequently used by tourists and locals alike. Having consistent Name, Address, and Phone number (NAP) information across these authoritative catalogs provides essential local citations. This signals legitimacy to search engines, helping the restaurant rank higher in local map packs when users search for ""places to eat near me.""",https://www.youtube.com/watch?v=T6ePps5F6R0,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/web-directory.webp,https://wordsthatsells.website/en/resources/glossary/web-directory-submissions-2026.html,Local SEO; Citations; Directories
Webmaster Guidelines,"Google's official documentation detailing best practices for website design, technical setup, and content quality to ensure optimal crawling, indexing, and search engine ranking.",seo,"General, SEO Strategy","Search Engine Guidelines, Ranking Factor","A prominent Philippine web development agency trains all its engineers to strictly follow Google's Webmaster Guidelines when building client sites. They ensure every website has a logical link structure, uses valid HTML, and is optimized for mobile devices. They actively avoid deceptive practices like cloaking or scraping content. By adhering to these official best practices for design, technical setup, and quality, the agency guarantees that their clients' websites are easily crawled and indexed, setting a solid foundation for long-term SEO success and avoiding any risk of algorithmic penalties.",https://www.youtube.com/watch?v=t1lS05RVGAk,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/webmaster-guidelines.webp,https://wordsthatsells.website/en/resources/glossary/google-webmaster-guidelines-2026.html,Best Practices; Compliance; Optimization
Web Pages,"Individual HTML documents accessible via the internet, which must be individually optimized with unique content, titles, and meta tags for effective SEO performance.",seo,"Technical SEO, Onpage Optimization","Website, URL","A Malaysian tech news publication manages thousands of individual Web Pages, understanding that each must be uniquely optimized. They don't just optimize the homepage; every single article, whether it's a review of a new smartphone or an interview with a startup founder, is treated as an independent entry point from search engines. The editorial team ensures each HTML document has a unique, descriptive title tag, a tailored meta description, and high-quality, original content. This granular optimization strategy allows them to capture a vast array of long-tail search traffic across their entire domain.",https://www.youtube.com/watch?v=FIXV28Mdm-o,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/web-pages.webp,https://wordsthatsells.website/en/resources/glossary/optimizing-web-pages-for-seo-2026.html,HTML; Optimization; Indexing
Website,"A collection of interconnected web pages under a single domain name, requiring a logical structure, strong technical foundation, and high-quality content for SEO success.",seo,"Technical SEO, Strategy","Website Structure, Web Pages","The official tourism Website for Indonesia is a massive digital ecosystem comprising thousands of interconnected web pages under the ""indonesia.travel"" domain name. To achieve regional SEO dominance, the administrators must maintain a logical, hierarchical structure, ensuring that pages about Bali are distinctly categorized from pages about Sumatra. They invest in a robust technical foundation with fast servers and secure protocols, while continuously publishing high-quality, inspiring travel content. This holistic approach ensures the entire collection of pages works together to build massive domain authority and capture global search traffic.",https://www.youtube.com/watch?v=RR2WCT9ZTDQ,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/website.webp,https://wordsthatsells.website/en/resources/glossary/website-seo-fundamentals-2026.html,Domain; Structure; Content
Website Structure,"The hierarchical organization and internal linking framework of a website, critical for user navigation and helping search engines crawl and understand content hierarchy.",seo,"Technical SEO, Onpage Optimization","Internal Links, URL","A leading Singaporean university redesigned its Website Structure to improve both user navigation and SEO crawlability. Previously, their site was a tangled web of deep, hard-to-find pages. They reorganized it into a flat, logical hierarchy: Homepage > Faculties > Departments > Specific Courses. They implemented clear ""breadcrumb"" navigation and robust internal linking. This intuitive framework allows prospective students to find information easily and enables search engine crawlers to systematically discover and understand the relationship between different pages, significantly improving the indexing and ranking potential of their academic programs.",https://www.youtube.com/watch?v=n68rh1s-ZdY,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/website-structure.webp,https://wordsthatsells.website/en/resources/glossary/website-structure-for-seo-2026.html,Hierarchy; Internal Linking; Crawlability
Zero Click Searches,Search engine queries where the user finds the answer directly on the SERP without clicking through to any website.,seo,"SERP Features, Emerging SEO","Featured Snippets, Google Knowledge Graph","A user in Jakarta quickly types ""time in Tokyo"" into their smartphone. Because Google provides the exact time directly at the top of the SERP via a featured snippet, the user gets their answer instantly and closes the browser without ever clicking on a website. This phenomenon, known as Zero Click Searches, is increasingly common for factual queries. Southeast Asian SEO professionals adapt to this by focusing their efforts on more complex, long-tail keywords where users require in-depth content, rather than trying to rank for simple queries that search engines now answer directly.",https://www.youtube.com/watch?v=HIUV9JzG85o,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/zero-click-searches.webp,https://wordsthatsells.website/en/resources/glossary/zero-click-searches-impact-and-strategy-2026.html,SERP Features; Featured Snippets; Search Intent
